x;y;z;
-0.511; 0.368; 0.200;
-0.454; 0.853; 0.892;
-0.454; 0.853; 0.892;
-0.037; 0.931;-0.166;
-0.036; 0.950;-0.995;
-0.036; 0.950;-0.995;
-0.034; 0.935;-0.134;
-0.034; 0.935;-0.134;
 0.285; 0.985; 0.463;
 0.479; 0.988; 0.000;
 0.479; 0.988; 0.000;
-0.430; 0.990;-0.043;
-0.191; 0.987;-0.459;
-0.191; 0.987;-0.459;
 0.342; 0.994; 0.000;
 0.348; 0.984; 0.425;
 0.038; 0.990; 0.425;
 0.305; 0.993;-0.190;
 0.305; 0.993;-0.190;
-0.751; 0.950;-0.644;
-0.913; 0.942; 0.562;
-0.913; 0.942; 0.562;
-0.543; 0.968; 0.579;
 0.108; 0.986;-0.504;
 0.108; 0.986;-0.504;
 0.293; 0.988;-0.367;
 0.312; 0.930;-0.133;
 0.312; 0.930;-0.133;
-0.580; 0.982;-0.077;
-0.580; 0.982;-0.077;
 0.038; 0.961; 0.881;
-0.686; 0.976; 0.080;
-0.686; 0.976; 0.080;
-0.354; 0.902;-0.348;
-0.151; 0.967;-0.792;
-0.151; 0.967;-0.792;
-0.807; 0.899; 0.158;
-0.807; 0.899; 0.158;
 0.231; 0.975;-0.657;
-0.069; 0.886; 0.502;
-0.069; 0.886; 0.502;
-0.080; 0.986; 0.521;
-0.080; 0.986; 0.521;
-0.670; 0.919; 0.072;
-0.693; 0.972; 0.260;
-0.693; 0.972; 0.260;
 0.512; 0.909; 0.238;
-0.432; 0.989;-0.157;
-0.432; 0.989;-0.157;
 0.217; 0.839;-0.772;
-0.590; 0.928;-0.033;
-0.590; 0.928;-0.033;
-0.556; 0.922; 0.113;
-0.556; 0.922; 0.113;
-0.660; 0.942;-0.841;
 0.481; 0.382; 0.127;
 0.481; 0.382; 0.127;
-0.128; 0.975; 0.685;
-0.128; 0.975; 0.685;
-0.714; 0.432; 0.845;
 0.828; 0.572; 0.598;
 0.828; 0.572; 0.598;
 0.031; 0.836; 0.799;
 0.671; 0.635; 0.588;
 0.671; 0.635; 0.588;
-0.164; 0.816; 0.897;
-0.109; 0.994; 0.328;
-0.109; 0.994; 0.328;
 0.673; 0.490;-0.240;
 0.731; 0.681;-0.395;
 0.731; 0.681;-0.395;
 0.072; 0.878;-0.550;
 0.072; 0.878;-0.550;
 0.345; 0.697;-0.036;
 0.987; 0.941; 0.442;
 0.987; 0.941; 0.442;
 0.045; 0.230; 0.701;
 0.045; 0.230; 0.701;
 0.569; 0.245; 0.333;
-0.416; 0.851; 0.667;
-0.416; 0.851; 0.667;
 0.919; 0.892;-0.139;
 0.354; 0.840; 0.150;
 0.354; 0.840; 0.150;
 0.715; 0.952; 0.655;
 0.479; 0.921; 0.490;
 0.479; 0.921; 0.490;
-0.439; 0.307;-0.783;
 0.979; 0.544; 0.151;
 0.979; 0.544; 0.151;
-0.218; 0.924; 0.145;
 0.523; 0.675; 0.145;
 0.523; 0.675; 0.145;
 0.677; 0.844;-0.518;
 0.677; 0.844;-0.518;
 0.270; 0.967; 0.483;
-0.761; 0.901;-0.177;
-0.761; 0.901;-0.177;
-0.842; 0.860; 0.432;
-0.327; 0.899; 0.373;
-0.327; 0.899; 0.373;
 0.324; 0.980; 0.803;
-0.001; 0.711;-0.294;
-0.001; 0.711;-0.294;
-0.733; 0.793; 0.898;
-0.733; 0.793; 0.898;
-0.323; 0.815; 0.378;
 0.225; 0.996; 0.096;
 0.225; 0.996; 0.096;
-0.316; 0.933;-0.108;
-0.730; 0.973; 0.036;
-0.730; 0.973; 0.036;
-0.578; 0.982;-0.144;
 0.233; 0.986;-0.466;
 0.233; 0.986;-0.466;
-0.077; 0.952;-0.968;
-0.077; 0.952;-0.968;
 0.320; 0.906;-0.323;
-0.501; 0.984;-0.250;
-0.501; 0.984;-0.250;
 0.190; 0.997; 0.114;
-0.701; 0.965; 0.442;
-0.701; 0.965; 0.442;
-0.434; 0.989; 0.157;
 0.288; 0.986;-0.432;
 0.288; 0.986;-0.432;
-0.478; 0.982;-0.350;
-0.478; 0.982;-0.350;
-0.072; 0.961; 0.875;
-0.463; 0.967;-0.656;
-0.463; 0.967;-0.656;
 0.371; 0.953;-0.891;
-0.073; 0.999;-0.073;
-0.073; 0.999;-0.073;
-0.104; 0.999;-0.034;
-0.034; 0.999;-0.069;
-0.034; 0.999;-0.069;
-0.245; 0.945;-0.015;
-0.502; 0.974;-0.502;
-0.502; 0.974;-0.502;
-0.220; 0.978; 0.623;
-0.220; 0.978; 0.623;
-0.386; 0.990; 0.175;
-0.222; 0.991; 0.333;
-0.222; 0.991; 0.333;
-0.545; 0.980; 0.311;
 0.183; 0.974;-0.696;
 0.183; 0.974;-0.696;
-0.725; 0.973; 0.036;
 0.183; 0.910; 0.321;
 0.183; 0.910; 0.321;
-0.367; 0.960; 0.808;
-0.083; 0.948;-0.007;
-0.083; 0.948;-0.007;
-0.482; 0.944;-0.933;
-0.471; 0.834; 0.751;
-0.471; 0.834; 0.751;
-0.387; 0.985; 0.387;
-0.989; 0.936;-0.532;
-0.989; 0.936;-0.532;
-0.568; 0.858;-0.597;
 0.795; 0.912; 0.049;
 0.795; 0.912; 0.049;
-0.637; 0.977; 0.182;
-0.525; 0.983; 0.218;
-0.525; 0.983; 0.218;
-0.103; 0.949;-0.998;
-0.103; 0.949;-0.998;
-0.558; 0.241; 0.488;
 0.237; 0.978; 0.610;
 0.237; 0.978; 0.610;
 0.069; 0.932; 0.448;
 0.037; 0.955;-0.942;
 0.037; 0.955;-0.942;
-0.318; 0.840; 0.752;
-0.318; 0.840; 0.752;
 0.396; 0.814;-0.316;
-0.753; 0.726;-0.196;
-0.753; 0.726;-0.196;
-0.056; 0.862;-0.268;
-0.056; 0.862;-0.268;
 0.147; 0.824; 0.469;
-0.438; 0.585; 0.471;
-0.438; 0.585; 0.471;
 0.909; 0.687; 0.568;
 0.063; 0.901; 0.396;
 0.063; 0.901; 0.396;
-0.076; 0.593; 0.910;
-0.076; 0.593; 0.910;
-0.674; 0.974; 0.224;
-0.145; 0.571;-0.660;
-0.145; 0.571;-0.660;
-0.405; 0.690; 0.433;
-0.791; 0.838; 0.058;
-0.791; 0.838; 0.058;
 0.182; 0.209;-0.577;
 0.801; 0.211;-0.786;
 0.801; 0.211;-0.786;
 0.751; 0.971; 0.039;
 0.005; 0.934; 0.541;
 0.005; 0.934; 0.541;
 0.912; 0.805;-0.737;
 0.912; 0.805;-0.737;
 0.696; 0.762;-0.350;
 0.898; 0.768; 0.990;
 0.898; 0.768; 0.990;
 0.713; 0.721; 0.601;
 0.242; 0.806; 0.943;
-0.555; 0.722; 0.749;
-0.555; 0.722; 0.749;
 0.510; 0.745; 0.654;
 0.536; 0.985; 0.041;
 0.536; 0.985; 0.041;
-0.891; 0.661; 0.756;
-0.891; 0.661; 0.756;
 0.592; 0.949; 0.814;
 0.244; 0.987;-0.440;
 0.244; 0.987;-0.440;
 0.125; 0.932; 0.293;
-0.054; 0.988; 0.466;
-0.054; 0.988; 0.466;
 0.255; 0.902; 0.371;
 0.255; 0.902; 0.371;
-0.198; 0.751;-0.286;
 0.124; 0.381; 0.353;
 0.124; 0.381; 0.353;
 0.537; 0.459; 0.690;
-0.548; 0.984; 0.073;
-0.548; 0.984; 0.073;
-0.135; 0.897; 0.423;
 0.192; 0.958; 0.887;
 0.192; 0.958; 0.887;
-0.905; 0.956; 0.215;
-0.479; 0.889; 0.042;
-0.479; 0.889; 0.042;
-0.407; 0.939; 0.018;
-0.774; 0.951; 0.611;
-0.774; 0.951; 0.611;
-0.047; 0.782;-0.341;
