x;y;z;
 0.208;-0.415;-0.542;
 0.208;-0.415;-0.542;
 0.708;-0.431;-0.851;
 0.383;-0.455;-0.945;
 0.179;-0.533;-0.778;
 0.835;-0.508;-0.980;
 0.835;-0.508;-0.980;
 0.510;-0.528;-0.989;
 0.510;-0.528;-0.989;
 0.181;-0.572;-0.885;
-0.335;-0.545;-0.962;
-0.563;-0.614;-0.690;
-0.563;-0.614;-0.690;
-0.950;-0.613;-0.585;
-0.302;-0.635;-0.337;
-0.302;-0.635;-0.337;
-0.628;-0.640;-0.101;
-0.628;-0.640;-0.101;
-0.018;-0.574;-0.062;
-0.217;-0.567;-0.881;
-0.217;-0.567;-0.881;
-0.457;-0.648;-0.931;
-0.493;-0.673;-0.457;
-0.493;-0.673;-0.457;
-0.715;-0.624;-0.057;
-0.742;-0.616;-0.054;
-0.550;-0.669; 0.030;
-0.550;-0.669; 0.030;
-0.619;-0.650;-0.034;
-0.749;-0.610;-0.297;
-0.749;-0.610;-0.297;
-0.598;-0.654;-0.169;
-0.590;-0.653;-0.300;
-0.590;-0.653;-0.300;
-0.623;-0.636;-0.507;
-0.433;-0.688;-0.470;
-0.433;-0.688;-0.470;
-0.686;-0.613;-0.605;
-0.419;-0.678;-0.680;
-0.286;-0.700;-0.819;
-0.286;-0.700;-0.819;
-0.487;-0.619;-0.127;
-0.487;-0.619;-0.127;
-0.230;-0.683;-0.120;
-0.079;-0.682;-0.389;
-0.079;-0.682;-0.389;
-0.273;-0.608;-0.584;
-0.742;-0.731;-0.502;
-0.742;-0.731;-0.502;
-0.819;-0.717;-0.500;
-0.737;-0.650;-0.959;
-0.737;-0.650;-0.959;
-0.280;-0.731;-0.910;
-0.333;-0.645;-0.278;
-0.915;-0.644;-0.478;
-0.915;-0.644;-0.478;
-0.810;-0.721;-0.197;
-0.731;-0.703;-0.303;
-0.731;-0.703;-0.303;
-0.450;-0.644;-0.604;
-0.450;-0.644;-0.604;
-0.466;-0.679;-0.467;
-0.062;-0.595;-0.813;
-0.062;-0.595;-0.813;
 0.216;-0.667;-0.549;
 0.237;-0.609;-0.756;
 0.237;-0.609;-0.756;
 0.730;-0.581;-0.767;
 0.914;-0.630;-0.533;
 0.914;-0.630;-0.533;
 0.268;-0.518;-0.792;
 0.268;-0.518;-0.792;
 0.652;-0.504;-0.633;
 0.672;-0.575;-0.346;
 0.672;-0.575;-0.346;
 0.192;-0.509;-0.182;
 0.399;-0.315;-0.730;
 0.399;-0.315;-0.730;
